"ManagerName","Employee_1","Employee_2","Employee_3","Employee_4","Employee_5","Employee_6","Employee_7","Employee_8","Employee_9","Employee_10","Employee_11","Employee_12","Employee_13","Employee_14","Employee_15","Employee_16","Employee_17","Employee_18","Employee_19","Employee_20","Employee_21","Employee_22","Employee_23","Employee_24","Employee_25","Employee_26","Employee_27","Employee_28","Employee_29"
"David Hall","William Powell","Andrea Thompson","Dr. Alexander Hoover MD","Oscar Bennett","Douglas Benson","Sarah Mueller","Jamie Bullock","Scott Perez","Dillon Parks","Dana Franklin","Jasmine Yates","","","","","","","","","","","","","","","","","",""
"Courtney Pierce","Travis Benson","Christopher Cox","Patricia Ramirez","Marie Perez","Blake Davis","","","","","","","","","","","","","","","","","","","","","","","",""
"Jorge Johnson","Stephen Richardson","Randy Herrera","Emily Gray","Adam Martin","William English","","","","","","","","","","","","","","","","","","","","","","","",""
"Brad Hanson","James Costa","Nancy Davis","Daniel Kirby","Charles Foster","Mrs. Heidi Reed","","","","","","","","","","","","","","","","","","","","","","","",""
"Andrea Little","Joseph Mccarty","Mr. Gregory Vaughn","Stephanie Mccarthy","Kevin Murphy","Morgan Gould","Joshua Jackson","Kelly Willis","Heather Clark","Michelle Jackson","","","","","","","","","","","","","","","","","","","",""
"Sabrina Nelson","Katherine Landry","Veronica Wilson","Kevin Howard","Jesse Hardin","Clinton Cabrera","Kayla Mora","","","","","","","","","","","","","","","","","","","","","","",""
"Lisa Soto","Donald Coffey","Tyler Johnson","Linda Daniels","Keith Thomas","Jessica Bailey","Erica Woods","Emily Cook","Christopher Santos","Ronald Patterson","Timothy Young","Amy Leonard","Daniel Martinez","Angela Miller","Roger Lopez","Molly Wu","Jacob Gibson","Leah Zimmerman","Marilyn Elliott","Travis Gregory","","","","","","","","","",""
"Kathy Bryant","Patricia Richmond","Tracy Smith","Amy Davis MD","Andre Spence","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wendy Taylor","John Vargas","Jesus Clarke DDS","Scott Duran","Melissa Gill","Reginald Stevens","Taylor Mathews","Nathaniel King","Elizabeth Wright","Stephanie Wade","","","","","","","","","","","","","","","","","","","",""
"Tyler Peters","Jennifer Johnson","Tonya Jackson","Kevin Smith","Roger Porter","Harry Humphrey","Crystal Gray","","","","","","","","","","","","","","","","","","","","","","",""
"Craig Henry","Ms. Debra Phillips","Eduardo Elliott","Jonathan Ray PhD","Ruth Booth MD","Ashley Gallagher","Mark Montgomery Jr.","","","","","","","","","","","","","","","","","","","","","","",""
"Louis Brown","Mary Hall","Jacqueline Henderson","Stephanie Miller","Paul Beasley","Alexander Cox","","","","","","","","","","","","","","","","","","","","","","","",""
"Leslie Sanchez","Gregory Terry","Patricia Krueger","Pamela Howell","Savannah Williams","Sara Bean","Jeffrey Pace","Mary Paul","Steven Flowers","","","","","","","","","","","","","","","","","","","","",""
"Todd Adams","Justin Johnson","Dr. Monica Rodriguez PhD","Mitchell Francis","Felicia Higgins","Faith Terry","James Rogers","James Gonzalez","Christopher Perez","","","","","","","","","","","","","","","","","","","","",""
"Jennifer Heath","Kevin Martin","John Johnson","Kathryn Clark","Austin Sanchez","Judith Webb","Christina Meza","Lucas Sparks","","","","","","","","","","","","","","","","","","","","","",""
"David Brown","Steven Figueroa","Michael Fox","Rick Rivera","Brandon Suarez","Sara Stewart","Melissa Mcconnell","Michael Robles","Diana Grant","Kristen Brock","Debbie Larsen","Jessica Watson","Valerie Spears","","","","","","","","","","","","","","","","",""
"Allison Williamson","Dr. Robert Thompson","Christopher Taylor","Jessica Andrews","Edward Smith","Yolanda Tran","Sarah Tran","Scott Simpson","Patricia Sheppard","","","","","","","","","","","","","","","","","","","","",""
"Kristen Hall","David Mcdonald","Jennifer Thomas","Aaron Coleman","Matthew Banks","Amber Morgan","Cindy Bell","Katherine Dawson","Kyle Duffy","","","","","","","","","","","","","","","","","","","","",""
"Julie Navarro","Scott Atkins PhD","Lindsay Wong","Kyle Smith PhD","James Hernandez","Dawn Fox","Scott Fleming","Nathan Lee","Glenn Phillips","Gerald Evans","James Freeman","","","","","","","","","","","","","","","","","","",""
"Michael Patterson","Jason Salas","Mark Park","Richard Evans","Heather Monroe","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sara Maldonado","Ryan Barrera","Erin Klein","Rebecca Mcknight","Ernest Miller","Michael Garcia","Anthony Robinson","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Porter","Debra Shelton","Arthur Richardson","Michael Long","April Aguirre","Andrew Graves","Joseph Davis","","","","","","","","","","","","","","","","","","","","","","",""
"Sandra Wilson","Anthony Williams","Madison Harris","Brian Moreno","Kelli Morris","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lauren Hoffman","Michelle Mckay","Joseph Mccoy","Ann Johnson","Cindy Escobar","Mary Mcdaniel","Dawn Davidson","Pamela Frazier","Emma Flores","Christian Miller","Robyn Carrillo","Amanda Mccann","Judith Robinson","Wanda Gentry","Yolanda Duarte","Jeffrey Brown","","","","","","","","","","","","","",""
"Joseph Adkins","Elizabeth Thomas","Lauren Garcia","Donald Martinez","Craig Jimenez","Monica Johnson","Natalie Williams","Kimberly Juarez","","","","","","","","","","","","","","","","","","","","","",""
"Oscar Chen","Mary Harper","James Holt PhD","Lindsey Walker","Wayne Smith","Bridget Fletcher","","","","","","","","","","","","","","","","","","","","","","","",""
"Heather Munoz","Robert Singh","Andre Andrews","Brandon Baker","Jamie Christensen","Lisa Lyons","Duane Saunders","Lawrence Nelson","David Hamilton","Molly Farley","Roy Hopkins","","","","","","","","","","","","","","","","","","",""
"Kerry Morris","Randall White","Nathan Delgado","Terri Harvey","Thomas White","Alicia Cruz","Alicia Riley","Jason Calhoun","Jonathan Graves","","","","","","","","","","","","","","","","","","","","",""
"Sydney Young","Jessica Clark","Russell Johnson","Angela Terrell","Christopher Duncan","Kevin Herring","Nicole Garcia","Beth Salazar","","","","","","","","","","","","","","","","","","","","","",""
"Holly Sutton","Jonathan Perez","John Young","Stephen Rodriguez","Joshua Jones","","","","","","","","","","","","","","","","","","","","","","","","",""
"Robert Scott","Joshua Rogers","Anthony Thomas","Harold Everett","Allison Hall","Brian Stewart","Fred Hernandez","Stephanie Case","Stephanie Richardson","Laura Hanna","Stuart Lee","Blake Simon","","","","","","","","","","","","","","","","","",""
"Robert Jones","Pamela Gillespie","Christopher Smith","April Schneider","John Miller","Sandra Strickland","Michael Gonzalez","Melissa Pierce","Keith Henderson","Michael Mcmahon","Thomas Collins","Kristen King","Michelle Ray","Jill Livingston","Emily Moreno DDS","","","","","","","","","","","","","","",""
"Monica Santiago","Patricia Powers","Timothy Lara","Wayne Reynolds","Melinda Jackson","Alicia Ross","Allison Barnett","","","","","","","","","","","","","","","","","","","","","","",""
"Amy Acevedo","David Gill","Joshua Copeland","Anne Kerr","Sean Oconnor","John Wise","April Washington","","","","","","","","","","","","","","","","","","","","","","",""
"Sarah Leonard","Jennifer Schmidt","Lisa French","John Blackwell","Pamela Ross","Beth Malone","Matthew Rios","","","","","","","","","","","","","","","","","","","","","","",""
"Marie Delgado","Annette Wang","Jason Melendez","Troy Wood","Rose Lopez","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vicki Carrillo","Heather Johnston","James Skinner","Taylor Chavez","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ashley Beltran","Colleen Lawson","Natalie Williams","Jeremy Perry","Ronnie Payne","Stefanie Shepard","Kevin Lee","Crystal Powers","","","","","","","","","","","","","","","","","","","","","",""
"Martin House","Kristen Herrera","Logan Anderson","Jacob Jennings","George Hendricks","","","","","","","","","","","","","","","","","","","","","","","","",""
"David Wheeler","Michael Patterson","Devin Gilbert","Jasmine Bradley","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lance Cook","Mark Lewis","William Duran","Brenda Nelson","Jonathan Lowe","","","","","","","","","","","","","","","","","","","","","","","","",""
"Joshua Allen","Jenna Shaffer","Christopher Stewart","Heather Ochoa","Briana Sanchez","Katherine Adams","Katherine Kirk","","","","","","","","","","","","","","","","","","","","","","",""
"Thomas Hernandez","Glenn Pratt","Jamie Austin","James Charles","Jerry Warren","Tiffany Mcintosh","Stephen Ramsey","","","","","","","","","","","","","","","","","","","","","","",""
"Christopher Reilly","Elijah Thompson","Lisa Kirk","Scott Lane","Thomas Wilson","Anne Jones","Ryan Gibson","Marissa Allen","Julia Osborn","Omar Roberts","","","","","","","","","","","","","","","","","","","",""
"Crystal Wallace","Dr. Darrell Castro","Amanda Anderson","Lindsay Johnson","Donald Gonzalez","Dennis James","Micheal Cooper","Mark Harris","Carolyn Byrd","Richard Klein","Denise Molina","","","","","","","","","","","","","","","","","","",""
"Jessica Long","Kristy Hill","Sara Rodriguez","Nathan Washington","Darryl Evans","Ann Williams","Cory Sutton","Joseph Zamora","Jordan Carter","","","","","","","","","","","","","","","","","","","","",""
"Andrea Estrada","Brenda Alvarado","Kevin Brennan","Dana Nolan","Dustin Whitaker","Alan Ayala","John Henderson","Ryan Dean","Holly Williams","","","","","","","","","","","","","","","","","","","","",""
"Shannon Bush","Ashley Smith","David Jensen","Christine Pena","Amanda Daniel","Amy Thompson","Larry Lawrence","Hannah Carpenter","","","","","","","","","","","","","","","","","","","","","",""
"Jackie Conrad","Christopher Olsen","James Jackson","Monica Stevenson","James Banks","Mary Cole","Robert Allen","","","","","","","","","","","","","","","","","","","","","","",""
"John Shaw","Carrie Ali","Cassandra Davis","Kristy Moyer","Laura Massey","Craig Green","Debra Holland","Jonathan Miller","Kimberly Bush","Gabriella Tucker","Sara Jordan","","","","","","","","","","","","","","","","","","",""
"Luis Baxter","Erin Howard","Anthony Jackson","William Rodriguez","Andrea Bowman","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sarah Brown","Martha Jackson","Jonathan Garcia","Laura Hughes","Timothy Arnold","Samuel Smith","Nathan Gibson","Michael Smith","Jack Smith","Erin Cuevas","Adam Horne","Nicole Hodge","Johnny West","Elizabeth Holland","","","","","","","","","","","","","","","",""
"Adam Deleon","Laurie Rose","Angel Dean","Paula Robinson","Elizabeth Blackburn","Rebecca Ellis","Heather Rodriguez","","","","","","","","","","","","","","","","","","","","","","",""
"Scott Alvarado","Patricia Walker","Anna Sherman","Juan Wise","Jacqueline Kim","Sarah Rodriguez","","","","","","","","","","","","","","","","","","","","","","","",""
"Samantha Herrera","Mary Summers","Katelyn Walter MD","Alejandro Rivera","Kimberly Nunez","Chloe Bennett","Laura Horne","David Mcdonald","","","","","","","","","","","","","","","","","","","","","",""
"Gregory Walker","Jacob Bentley","Ruben Malone","Matthew Hall","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Michael Morton","Susan Gilbert","Darren Gonzales","Joshua Gonzales","Andrew Stark","Lauren Perry","Jeff Keith","Michael Baxter","Brian Rivera","","","","","","","","","","","","","","","","","","","","",""
"Kristen Montgomery","Kenneth Richardson","Julie Acevedo","Joshua Harvey","Christian Walters","Deborah Cox","Brent Snyder","Benjamin Harvey","","","","","","","","","","","","","","","","","","","","","",""
"Susan Morales","William Wilkerson","Scott Landry","Angela Richards","Heather Smith","Taylor Weaver","Elizabeth Herrera","","","","","","","","","","","","","","","","","","","","","","",""
"Mary Jimenez","Justin Smith","Melanie Garcia","Brian Lee","Laura Graves","Taylor Anderson","Audrey Smith","","","","","","","","","","","","","","","","","","","","","","",""
"Jason Melendez","Helen Bray","Amy Jackson","William Sutton","Anthony Ross","Steven Dillon MD","Brandon Frank","Lori Roman","Jason Baker","","","","","","","","","","","","","","","","","","","","",""
"Tracey Jensen","Joshua Ochoa","Diane Robbins","Lauren Perkins","Jose Lopez","Troy Burns","Katrina Hernandez","Ashley Jackson","Michael Shaw","Tammy Walker","Jennifer Bass","Yolanda Wright","Anthony Johnson","","","","","","","","","","","","","","","","",""
"Brendan Weiss","Amber Griffin","Devon Conway","Courtney Davis","Gregory Crawford","Angela Preston","Nicole Acevedo","Jeffrey Burnett","Dawn Herrera","","","","","","","","","","","","","","","","","","","","",""
"Fernando King","Paul Mahoney","Jacob Sullivan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Natalie Mccormick","Shannon Osborne","Amy Fernandez","Angelica Murray","Jennifer Crawford","Mary Garcia","Alexander Austin","Scott Watson","Helen Myers","","","","","","","","","","","","","","","","","","","","",""
"Meghan Allen","Mary Miller","Sandra Pierce","Samantha Walker","Melissa Anthony","Scott Adams","Dr. John Smith DDS","Mary Lewis","Tammy Peck","Tracy Miller","Jessica Jackson MD","Sherry Sexton","Edward Sanchez","","","","","","","","","","","","","","","","",""
"Makayla Anderson","John Little","Christopher Ward","Ryan Mcguire","Larry Gonzalez","Mrs. Terri Hays DDS","Duane Torres","Pamela Ramirez","","","","","","","","","","","","","","","","","","","","","",""
"Jeffrey Price","Michael Bowers","Amber Morris","Dawn Christian","Dr. James Page","Aaron Payne","","","","","","","","","","","","","","","","","","","","","","","",""
"Emily Smith","David Henry","Jessica Jones","Rachel Gonzales","Stephanie Cook","Chad Lopez","Brittany Sparks","Javier Peterson","Judith Thomas","","","","","","","","","","","","","","","","","","","","",""
"Erica Perez","Candace Morgan","Tracy Thomas","Kayla Fuentes","Gina Swanson","Elizabeth Hernandez","Justin Shea","","","","","","","","","","","","","","","","","","","","","","",""
"Frances Armstrong","Katherine Montes","Jonathan Sanchez","Jesus Campbell","Scott Wilson","Emily Jackson","","","","","","","","","","","","","","","","","","","","","","","",""
"Jeremy Johnson","Andre Wilson","David Summers","Stephen Perez","Steven Adams","Jeff Moore","","","","","","","","","","","","","","","","","","","","","","","",""
"Christopher Navarro","Lisa Bonilla","William George","Jose Parker","Carla Bentley","Casey Jenkins","Lori Perry","Daniel Carr","","","","","","","","","","","","","","","","","","","","","",""
"Jason Ferrell","Sharon Gonzalez","Richard Villarreal","Martha Griffin","David Smith","Kristen Cross","","","","","","","","","","","","","","","","","","","","","","","",""
"Elizabeth Medina","Darryl Thompson","Louis Edwards","Jessica Simmons","Marc Watson","Connie Flores","Karen Woods","Danielle Taylor","Kathleen Delgado","Laura Fernandez","Vanessa Collier","Kelly Reyes","Joshua Morse","","","","","","","","","","","","","","","","",""
"Tyler Ferguson MD","Jonathan Chandler","Jessica Brown","Kathleen Price","Caitlyn Sullivan","Kathleen Wilson","Stephanie Perez","Andrea Martinez","Jeremy Smith","David Gibson","","","","","","","","","","","","","","","","","","","",""
"Victoria Savage","Christopher Alvarado","Kimberly Gonzalez","Karen Tucker","Mary Fuller","Michelle Oneal","Michael Nelson","","","","","","","","","","","","","","","","","","","","","","",""
"Erin Reeves","Stacy Carlson","John Miller DDS","Brandi Patel","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jason Maxwell","Krystal Contreras","Amy Koch","Raymond Washington","James Olson","Jennifer Allen","Denise Herrera","","","","","","","","","","","","","","","","","","","","","","",""
"Brian Cooper","Morgan Nelson","Alexander Flores","Alejandro Evans","Janet Smith","Joseph Wilson","Barbara Pitts","Tyler Hamilton","Debra Neal","Justin Santos","","","","","","","","","","","","","","","","","","","",""
